"at","I like being at home"
"an","I would like an octopus as a pet"
"am","I am called Ellie"
"have","I have a pet called Poppy"
"back","I like a pat on the back"
"Dad","My Dad is awesome"
"man","My Dad is a man"
"had","I wish I had a doggie"
"bad","Donald Trump is very bad"
"family","I love all of my family"
"has","My Daddy has a great sense of humour"
"that","Look at that pig over there"
"crab","I saw a crab in the rocks"
